Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
House for sale,Appelboomstraat 500,"€ 389,000",3 bedrooms | 120 m² ,3 bedrooms,No,Installed,To renovate,380 m² ,No
Town-house for sale,Avenue des Croix de Guerre 332,"€ 430,000",3 bedrooms | 135 m² ,3 bedrooms,No,Installed,To be done up,100 m² ,No
Villa for sale,Kastanjelaan 4,"€ 1,175",5 bedrooms | 520 m² ,5 bedrooms,Yes,Hyper equipped,As new,100 m² ,No
House for sale,Rue des Alliés 42,"€ 239,000",2 bedrooms | 190 m² ,2 bedrooms,No,Semi equipped,To be done up,100 m² ,No
House for sale,Rue des Alliés 42,"€ 239,000",2 bedrooms | 190 m² ,2 bedrooms,No,Semi equipped,To be done up,100 m² ,No
Villa for sale,Rue des Alliés 42,"€ 239,000",2 bedrooms | 190 m² ,2 bedrooms,No,Semi equipped,To be done up,100 m² ,No
Villa for sale,Rue des Alliés 42,"€ 239,000",2 bedrooms | 190 m² ,2 bedrooms,No,Semi equipped,To be done up,100 m² ,No
House for sale,Rue Haute 27B,"€ 475,000",3 bedrooms | 140 m² ,3 bedrooms,No,Hyper equipped,As new,485 m² ,No
Villa for sale,Avenue de l'Helice 35,"€ 1,150",6 bedrooms | 232 m² ,6 bedrooms,No,Installed,Good,600 m² ,No
House for sale,Marie Collartstraat 12,"€ 365,000",3 bedrooms | 132 m² ,3 bedrooms,No,Installed,Just renovated,40 m² ,No
House for sale,Zonnestraat 120,"€ 139,900",2 bedrooms | 110 m² ,2 bedrooms,No,Semi equipped,To be done up,40 m² ,No
House for sale,Hogerlucht 58,"€ 299,500",3 bedrooms | 220 m² ,3 bedrooms,No,Semi equipped,Good,40 m² ,No
House for sale,Chaussée de Tongres 346,"€ 320,000",4 bedrooms | 180 m² ,4 bedrooms,No,Semi equipped,To renovate,650 m² ,No
House for sale,Bosstraat 10,"€ 455,000",5 bedrooms | 260 m² ,5 bedrooms,No,Not installed,Good,70 m² ,No
House for sale,Edingsesteenweg 455,"€ 425,000",3 bedrooms | 178 m² ,3 bedrooms,No,Hyper equipped,To be done up,70 m² ,No
Villa for sale,Rue Des Alliés 26,"€ 300,000",6 bedrooms | 240 m² ,6 bedrooms,No,Semi equipped,To be done up,420 m² ,No
House for sale,Olmenlaan 10,"€ 305,000",2 bedrooms | 150 m² ,2 bedrooms,No,Hyper equipped,As new,420 m² ,No
House for sale,Olmenlaan 10,"€ 305,000",2 bedrooms | 150 m² ,2 bedrooms,No,Hyper equipped,As new,420 m² ,No
House for sale,Rue d'osseghem 122,"€ 330,000",2 bedrooms | 97 m² ,2 bedrooms,No,Hyper equipped,To be done up,420 m² ,No
Apartment block for sale,Rue Charles Quint 74,"€ 785,000",4 bedrooms | 215 m² ,4 bedrooms,No,Hyper equipped,To be done up,420 m² ,No
Apartment block for sale,Rue Charles Quint 74,"€ 785,000",4 bedrooms | 215 m² ,4 bedrooms,No,Hyper equipped,To be done up,420 m² ,No
Apartment block for sale,Rue Georges Thone 10,"€ 129,000",5 bedrooms | 282 m² ,5 bedrooms,No,Semi equipped,To renovate,420 m² ,No
Apartment block for sale,rue des alliés 78,"€ 200,000",3 bedrooms | 160 m² ,3 bedrooms,No,Installed,To be done up,420 m² ,No
House for sale,Route de Huy 1,"€ 315,000",3 bedrooms | 140 m² ,3 bedrooms,No,Installed,As new,250 m² ,No
Exceptional property for sale,1050 — Ixelles,"€ 2,750",6 bedrooms | 668 m² ,6 bedrooms,No,Hyper equipped,As new,500 m² ,No
House for sale,1050 — Ixelles,"€ 570,000",5 bedrooms | 185 m² ,5 bedrooms,No,Installed,To be done up,500 m² ,No
Apartment for sale,Markt 132 Box 4,"€ 215,000",2 bedrooms | 89 m² ,2 bedrooms,No,Installed,Just renovated,500 m² ,No
Apartment for sale,Rue des Colombières 12 Box 21,"€ 264,000",3 bedrooms | 115 m² ,3 bedrooms,No,Installed,Good,500 m² ,No
Apartment for sale,Rue Julien d'Andrimont 3,"€ 165,000",2 bedrooms | 85 m² ,2 bedrooms,No,Installed,Good,500 m² ,No
House for sale,Visé Voie 560,"€ 235,000",4 bedrooms,4 bedrooms,No,Semi equipped,To be done up,500 m² ,No
Apartment for sale,Weerstandlaan 40 Box 2,"€ 237,000",2 bedrooms | 123 m² ,2 bedrooms,No,Hyper equipped,Just renovated,500 m² ,No
House for sale,Limburgstraat 112,"€ 299,000",6 bedrooms | 216 m² ,6 bedrooms,No,Semi equipped,Good,500 m² ,No
House for sale,Rue du Ruisseau 20 Box LOT 3,"€ 310,000",3 bedrooms | 160 m² ,3 bedrooms,No,Not installed,Good,500 m² ,No
House for sale,Rue du Ruisseau 21 Box LOT 2,"€ 310,000",3 bedrooms | 160 m² ,3 bedrooms,No,Not installed,Good,500 m² ,No
House for sale,Rue du Ruisseau 24 Box LOT 1 G,"€ 310,000",3 bedrooms | 160 m² ,3 bedrooms,No,Not installed,Good,500 m² ,No
House for sale,Chaussee de Bruxelles 628 Box V6,"€ 850,000",4 bedrooms | 261 m² ,4 bedrooms,No,USA hyper equipped,As new,890 m² ,No
House for sale,Rue Gotte Mayon 11,"€ 195,000",3 bedrooms | 85 m² ,3 bedrooms,No,Hyper equipped,As new,240 m² ,No
House for sale,Rue Georges Hubin 37,"€ 349,000",3 bedrooms | 145 m² ,3 bedrooms,No,Installed,Good,1400 m² ,No
Villa for sale,Willekenslaan 92,"€ 450,000",5 bedrooms | 253 m² ,5 bedrooms,No,USA hyper equipped,To be done up,1400 m² ,No
House for sale,Rue Rodgy Thier 27,"€ 149,000",2 bedrooms | 77 m² ,2 bedrooms,Yes,Installed,Just renovated,136 m² ,No
House for sale,Rue du Moulin 20,"€ 219,000",3 bedrooms | 121 m² ,3 bedrooms,Yes,Hyper equipped,As new,136 m² ,No
Maisons Arborescence,Rue des Crinoïdes 1,"€ 339,000",3 - 4 bedrooms | 224 - 247 m² ,3 - 4 bedrooms,Yes,Hyper equipped,As new,136 m² ,No
House for sale,Rue Jean Corbion 6,"€ 80,000",4 bedrooms | 90 m² ,4 bedrooms,No,Not installed,To renovate,90 m² ,No
House for sale,Rue d'Athus 28,"€ 160,000",4 bedrooms | 117 m² ,4 bedrooms,No,Semi equipped,To renovate,90 m² ,No
