Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
Mixed-use building for sale,Molenlei 38,"€ 495,000",4 bedrooms | 150 m² ,4 bedrooms,No,Installed,As new,100 m² ,No
Apartment block for sale,Rue de Boncelles 215,"€ 495,000",10 bedrooms | 500 m² ,10 bedrooms,No,Semi equipped,To be done up,174 m² ,No
Other properties for sale,Rue du Clavia 10,"€ 495,000",4 bedrooms | 249 m² ,4 bedrooms,No,Semi equipped,Good,174 m² ,No
Farmhouse for sale,Michamps 7,"€ 495,000",6 bedrooms | 295 m² ,6 bedrooms,No,Not installed,To renovate,174 m² ,No
House for sale,1800 — Vilvoorde,"€ 499,000",6 bedrooms | 330 m² ,6 bedrooms,No,USA installed,Good,140 m² ,No
House for sale,Rue de la Pisselotte 42,"€ 520,000",3 bedrooms | 215 m² ,3 bedrooms,No,Hyper equipped,Good,140 m² ,Yes
House for sale,Kortrijkstraat 35,"€ 530,000",3 bedrooms | 400 m² ,3 bedrooms,No,Installed,Good,140 m² ,Yes
House for sale,Simonslei 13,"€ 537,000",3 bedrooms | 185 m² ,3 bedrooms,No,Hyper equipped,Just renovated,406 m² ,No
Villa for sale,Prinsstraat 71,"€ 549,000",4 bedrooms | 401 m² ,4 bedrooms,No,Installed,To be done up,400 m² ,No
Exceptional property for sale,Rue Gretry 154,"€ 550,000",6 bedrooms | 743 m² ,6 bedrooms,No,Installed,Good,400 m² ,No
House for sale,Sportstraat 239,"€ 550,000",4 bedrooms | 255 m² ,4 bedrooms,No,Installed,Good,400 m² ,No
House for sale,Kauwstraat 30,"€ 550,000",3 bedrooms | 400 m² ,3 bedrooms,No,Hyper equipped,Good,400 m² ,No
House for sale,Rue d'Ocquier 2,"€ 560,000",6 bedrooms | 400 m² ,6 bedrooms,No,Semi equipped,Good,400 m² ,No
House for sale,Avenue du Champ de Mai 29,"€ 575,000",5 bedrooms | 220 m² ,5 bedrooms,No,USA installed,As new,160 m² ,No
Exceptional property for sale,7063 — Neufvilles,"€ 575,000",5 bedrooms | 365 m² ,5 bedrooms,No,Installed,Just renovated,160 m² ,No
House for sale,Berkenlaan 3,"€ 579,000",3 bedrooms | 172 m² ,3 bedrooms,No,Hyper equipped,As new,775 m² ,No
Villa for sale,1330 — Rixensart,"€ 595,000",3 bedrooms | 182 m² ,3 bedrooms,No,Installed,Good,775 m² ,No
Exceptional property for sale,1330 — Rixensart,"€ 595,000",4 bedrooms | 165 m² ,4 bedrooms,No,Semi equipped,To renovate,775 m² ,No
Villa for sale,Bosvijverdreef 28,"€ 595,000",4 bedrooms,4 bedrooms,No,Installed,To be done up,775 m² ,No
House for sale,1435 — Mont-Saint-Guibert,"€ 615,000",6 bedrooms | 414 m² ,6 bedrooms,No,Installed,Good,775 m² ,No
Apartment block for sale,1070 — Anderlecht,"€ 620,000",5 bedrooms | 320 m² ,5 bedrooms,No,Semi equipped,To renovate,775 m² ,No
Villa for sale,1470 — BAISY-THY,"€ 645,000",4 bedrooms | 260 m² ,4 bedrooms,No,Installed,Good,775 m² ,No
House for sale,Jan Veldmansstraat 72,"€ 649,000",4 bedrooms,4 bedrooms,No,Hyper equipped,Good,775 m² ,No
Villa for sale,Donkerstraat 52,"€ 649,000",4 bedrooms | 380 m² ,4 bedrooms,No,Hyper equipped,As new,280 m² ,No
Exceptional property for sale,La Cornee 1,"€ 649,000",7 bedrooms | 440 m² ,7 bedrooms,No,Hyper equipped,Good,2000 m² ,No
Mansion for sale,Rodestraat 67,"€ 659,000",4 bedrooms | 448 m² ,4 bedrooms,No,Installed,Good,2000 m² ,No
House for sale,2811 — Hombeek,"€ 668,000",4 bedrooms | 245 m² ,4 bedrooms,No,Semi equipped,Good,850 m² ,No
Villa for sale,Krepelstraat 54,"€ 669,000",4 bedrooms | 380 m² ,4 bedrooms,No,Installed,As new,850 m² ,No
Villa for sale,Terdekdelleweg 29,"€ 675,000",4 bedrooms | 170 m² ,4 bedrooms,No,Hyper equipped,As new,850 m² ,No
House for sale,Menenstraat 73,"€ 675,000",5 bedrooms | 268 m² ,5 bedrooms,No,Installed,To be done up,850 m² ,No
House for sale,Papenboskant 3,"€ 449,000",4 bedrooms | 170 m² ,4 bedrooms,No,Semi equipped,As new,1825 m² ,No
Mixed-use building for sale,2610 — Wilrijk,"€ 695,000",7 bedrooms | 295 m² ,7 bedrooms,No,Semi equipped,As new,1825 m² ,No
CHAUMONT-GISTOUX,1325 — Chaumont-Gistoux,"€ 390,000",2 - 3 bedrooms | 95 - 305 m² ,2 - 3 bedrooms,No,Semi equipped,As new,1825 m² ,No
House for sale,rue de chaumont 31 Box A,"€ 295,000",1 bedroom | 80 m² ,1 bedroom,No,Installed,As new,1825 m² ,No
House for sale,Zonnestraat 508,"€ 75,000",1 bedroom | 75 m² ,1 bedroom,No,Not installed,To renovate,1825 m² ,No
Apartment for sale,Rempart de la Vierge 16 Box 2,"€ 175,000",1 bedroom | 54 m² ,1 bedroom,No,Installed,To be done up,1825 m² ,No
House for sale,Rue des Pinsons 7,"€ 375,000",3 bedrooms | 165 m² ,3 bedrooms,No,Semi equipped,To be done up,500 m² ,No
Apartment for sale,Zonnestraat 508/2,"€ 148,000",2 bedrooms | 153 m² ,2 bedrooms,No,Semi equipped,Good,500 m² ,No
Mixed-use building for sale,1000 — Bruxelles,"€ 725,000",6 bedrooms | 377 m² ,6 bedrooms,No,Semi equipped,To renovate,500 m² ,No
Mixed-use building for sale,1070 — Anderlecht,"€ 725,000",6 bedrooms | 377 m² ,6 bedrooms,No,Semi equipped,To renovate,500 m² ,No
House for sale,1780 — Wemmel,"€ 725,000",5 bedrooms | 252 m² ,5 bedrooms,No,Semi equipped,To be done up,500 m² ,No
Exceptional property for sale,GROTE PEPERSTRAAT 39,"€ 739,000",9 bedrooms | 360 m² ,9 bedrooms,No,Installed,Good,1 m² square meter,No
House for sale,Leebeekstraat 17,"€ 750,000",3 bedrooms | 165 m² ,3 bedrooms,No,Hyper equipped,As new,1000 m² ,No
House for sale,1160 — Auderghem,"€ 765,000",5 bedrooms | 254 m² ,5 bedrooms,No,Hyper equipped,To be done up,1000 m² ,No
House for sale,"Verversdijk 8,","€ 789,000",2 bedrooms | 200 m² ,2 bedrooms,No,Installed,To be done up,1000 m² ,No
House for sale,Chaussée de Saint Job 148,"€ 790,000",6 bedrooms | 295 m² ,6 bedrooms,No,Hyper equipped,Good,106 m² ,No
Villa for sale,1410 — Waterloo,"€ 795,000",6 bedrooms | 320 m² ,6 bedrooms,No,Installed,Good,106 m² ,No
Villa for sale,Lage Vlier 72,"€ 795,000",4 bedrooms | 335 m² ,4 bedrooms,No,Installed,Good,750 m² ,No
Apartment block for sale,Nieuwland 49,"€ 795,000",6 bedrooms | 130 m² ,6 bedrooms,Yes,Installed,Just renovated,750 m² ,No
Mixed-use building for sale,1140 — Evere,"€ 799,000",5 bedrooms | 411 m² ,5 bedrooms,No,Hyper equipped,Good,750 m² ,No
House for sale,49 49,"€ 829,000",5 bedrooms | 296 m² ,5 bedrooms,No,Hyper equipped,Good,750 m² ,No
Manor house for sale,Corsendonk 13,"€ 850,000",3 bedrooms | 284 m² ,3 bedrooms,No,Installed,Good,750 m² ,No
Villa for sale,1380 — OHAIN,"€ 870,000",4 bedrooms | 268 m² ,4 bedrooms,No,USA hyper equipped,As new,100 m² ,No
House for sale,1150 — Woluwe-Saint-Pierre,"€ 895,000",6 bedrooms | 215 m² ,6 bedrooms,No,USA hyper equipped,Good,120 m² ,No
House for sale,1150 — Woluwe-Saint-Pierre,"€ 895,000",5 bedrooms | 240 m² ,5 bedrooms,No,USA hyper equipped,Good,90 m² ,No
Apartment block for sale,Rue Basse 50 Box 0,"€ 950,000",4 bedrooms | 500 m² ,4 bedrooms,No,Installed,Good,90 m² ,No
House for sale,1050 — Ixelles,"€ 995,000",5 bedrooms | 326 m² ,5 bedrooms,No,Hyper equipped,As new,90 m² ,No
House for sale,1060 — SAINT-GILLES,"€ 995,000",5 bedrooms | 326 m² ,5 bedrooms,No,Hyper equipped,As new,90 m² ,No
Exceptional property for sale,1380 — OHAIN,"€ 1,000",6 bedrooms | 376 m² ,6 bedrooms,No,Semi equipped,To renovate,2000 m² ,No
House for sale,1150 — Woluwe-Saint-Pierre,"€ 1,050",4 bedrooms | 230 m² ,4 bedrooms,No,Hyper equipped,Good,1000 m² ,No
House for sale,1640 — St-Genesius-Rode,"€ 1,090",4 bedrooms | 230 m² ,4 bedrooms,No,Hyper equipped,Good,1000 m² ,No
Mixed-use building for sale,Chaussee de Tirlemont 17,"€ 1,090",3 bedrooms | 668 m² ,3 bedrooms,No,Hyper equipped,Good,1000 m² ,No
House for sale,1380 — Lasne,"€ 1,200",4 bedrooms | 400 m² ,4 bedrooms,No,Installed,Just renovated,4500 m² ,No
Mixed-use building for sale,1800 — PEUTIE,"€ 1,295",6 bedrooms | 474 m² ,6 bedrooms,No,USA semi equipped,To be done up,4500 m² ,No
House for sale,1050 — Ixelles,"€ 1,300",5 bedrooms | 330 m² ,5 bedrooms,No,Installed,Good,45 m² ,No
Mixed-use building for sale,1000 — Bruxelles,"€ 1,350",6 bedrooms | 300 m² ,6 bedrooms,No,USA installed,Good,45 m² ,No
Exceptional property for sale,Rue Le Marais 96,"€ 1,480",12 bedrooms | 917 m² ,12 bedrooms,No,Installed,Good,3460 m² ,No
Villa for sale,1390 — Grez-Doiceau,"€ 1,495",7 bedrooms | 900 m² ,7 bedrooms,No,Installed,To renovate,3460 m² ,No
House for sale,Papenboskant 3,"€ 449,000",4 bedrooms | 170 m² ,4 bedrooms,No,Semi equipped,As new,1825 m² ,No
Mixed-use building for sale,2610 — Wilrijk,"€ 695,000",7 bedrooms | 295 m² ,7 bedrooms,No,Semi equipped,As new,1825 m² ,No
CHAUMONT-GISTOUX,1325 — Chaumont-Gistoux,"€ 390,000",2 - 3 bedrooms | 95 - 305 m² ,2 - 3 bedrooms,No,Semi equipped,As new,1825 m² ,No
House for sale,rue de chaumont 31 Box A,"€ 295,000",1 bedroom | 80 m² ,1 bedroom,No,Installed,As new,1825 m² ,No
House for sale,Zonnestraat 508,"€ 75,000",1 bedroom | 75 m² ,1 bedroom,No,Not installed,To renovate,1825 m² ,No
Apartment for sale,Rempart de la Vierge 16 Box 2,"€ 175,000",1 bedroom | 54 m² ,1 bedroom,No,Installed,To be done up,1825 m² ,No
House for sale,Rue des Pinsons 7,"€ 375,000",3 bedrooms | 165 m² ,3 bedrooms,No,Semi equipped,To be done up,500 m² ,No
Apartment for sale,Zonnestraat 508/2,"€ 148,000",2 bedrooms | 153 m² ,2 bedrooms,No,Semi equipped,Good,500 m² ,No
Villa for sale,1390 — Grez-Doiceau,"€ 1,595",5 bedrooms | 380 m² ,5 bedrooms,No,USA hyper equipped,Good,5000 m² ,Yes
Exceptional property for sale,1380 — Lasne,"€ 1,680",6 bedrooms | 460 m² ,6 bedrooms,No,Hyper equipped,As new,5000 m² ,Yes
Mansion for sale,1050 — Ixelles,"€ 1,790",4 bedrooms | 330 m² ,4 bedrooms,No,Installed,As new,100 m² ,No
Mansion for sale,1040 — Etterbeek,"€ 1,850",6 bedrooms | 525 m² ,6 bedrooms,No,Installed,As new,100 m² ,No
Mansion for sale,1200 — WOLUWE-SAINT-LAMBERT,"€ 1,850",5 bedrooms | 525 m² ,5 bedrooms,No,Installed,As new,100 m² ,No
House for sale,1000 — Bruxelles,"€ 1,950",4 bedrooms | 300 m² ,4 bedrooms,No,Not installed,To renovate,50 m² ,No
House for sale,1150 — Woluwe-Saint-Pierre,"€ 1,950",6 bedrooms | 410 m² ,6 bedrooms,No,Hyper equipped,Good,513 m² ,No
Mansion for sale,1180 — Uccle,"€ 1,975",6 bedrooms | 820 m² ,6 bedrooms,No,Hyper equipped,As new,513 m² ,No
House for sale,1380 — Lasne,"€ 2,450",8 bedrooms | 730 m² ,8 bedrooms,No,Hyper equipped,As new,2000 m² ,Yes
Villa for sale,1380 — Lasne,"€ 2,450",8 bedrooms | 730 m² ,8 bedrooms,No,Installed,Good,2000 m² ,No
Mansion for sale,1050 — Ixelles,"€ 2,750",6 bedrooms | 668 m² ,6 bedrooms,No,Hyper equipped,As new,2000 m² ,No
Mansion for sale,1190 — Forest,"€ 2,750",6 bedrooms | 420 m² ,6 bedrooms,No,Hyper equipped,As new,2000 m² ,No
Mansion for sale,1190 — Forest,"€ 2,750",6 bedrooms | 530 m² ,6 bedrooms,No,Hyper equipped,As new,685 m² ,No
Exceptional property for sale,1150 — Woluwe-Saint-Pierre,"€ 2,985",6 bedrooms | 480 m² ,6 bedrooms,No,USA hyper equipped,As new,685 m² ,No
House for sale,1640 — RHODE-SAINT-GENESE,"€ 2,990",6 bedrooms | 550 m² ,6 bedrooms,No,Installed,As new,685 m² ,No
House for sale,1190 — Bruxelles,"€ 4,950",5 bedrooms | 1100 m² ,5 bedrooms,No,Installed,As new,685 m² ,No
Villa for sale,3080 — Tervuren,"€ 4,950",6 bedrooms | 750 m² ,6 bedrooms,No,Hyper equipped,Good,685 m² ,No
House for sale,2950 — Kapellen,"€ 5,850",5 bedrooms | 1130 m² ,5 bedrooms,No,Hyper equipped,As new,9000 m² ,No
House for sale,Jan Furnièrestraat 37,"€ 285,000",3 bedrooms | 160 m² ,3 bedrooms,No,Installed,To renovate,9000 m² ,No
House for sale,Chaussee d'Alsemberg 688,"€ 310,000",3 bedrooms | 148 m² ,3 bedrooms,No,Installed,Just renovated,400 m² ,No
House for sale,Rue des Pinsons 7,"€ 375,000",3 bedrooms | 165 m² ,3 bedrooms,No,Semi equipped,To be done up,500 m² ,No
House for sale,Rue Hubert Stiernet 22,"€ 385,000",3 bedrooms | 140 m² ,3 bedrooms,No,Hyper equipped,Just renovated,500 m² ,No
Town-house for sale,De Beuckerstraat 64,"€ 585,000",5 bedrooms | 240 m² ,5 bedrooms,No,Hyper equipped,As new,15 m² ,No
Villa for sale,Constant Permekelaan 9,"€ 1,150",3 bedrooms | 370 m² ,3 bedrooms,No,USA hyper equipped,Good,450 m² ,No
House for sale,Hoomweg 10,"€ 299,000",3 bedrooms | 176 m² ,3 bedrooms,No,Installed,Good,265 m² ,No
Villa for sale,Rue d'Esneux 60,"€ 339,000",4 bedrooms | 136 m² ,4 bedrooms,No,Semi equipped,Good,900 m² ,No
House for sale,Rue des Hycocognes 10 Box A,"€ 368,000",4 bedrooms | 190 m² ,4 bedrooms,No,Installed,Good,900 m² ,No
House for sale,Rue Paulin Debauche 47,"€ 139,000",2 bedrooms | 110 m² ,2 bedrooms,No,Semi equipped,To be done up,900 m² ,No
House for sale,Chemin de Douglas 254,"€ 185,000",2 bedrooms,2 bedrooms,No,Semi equipped,To be done up,900 m² ,No
House for sale,Baarstraat 57,"€ 279,000",4 bedrooms | 210 m² ,4 bedrooms,No,Semi equipped,As new,900 m² ,No
House for sale,1800 — Vilvoorde,"€ 299,000",3 bedrooms | 136 m² ,3 bedrooms,No,Installed,Good,900 m² ,No
House for sale,Rue des Peupliers 9,"€ 325,000",4 bedrooms | 160 m² ,4 bedrooms,No,USA installed,As new,1202 m² ,No
House for sale,De Leescorfstraat 69,"€ 330,000",2 bedrooms | 127 m² ,2 bedrooms,No,USA installed,To be done up,50 m² ,No
Villa for sale,Rue du Roi Albert 274,"€ 385,000",3 bedrooms | 111 m² ,3 bedrooms,No,Installed,Good,1004 m² ,No
House for sale,Egenhovenstraat 15 A,"€ 447,100",5 bedrooms | 197 m² ,5 bedrooms,No,Installed,Good,23 m² ,No
House for sale,Krijzeltand 4,"€ 555,000",3 bedrooms | 185 m² ,3 bedrooms,No,Hyper equipped,Good,59 m² ,No
House for sale,Dambruggestraat 200,"€ 610,000",7 bedrooms | 370 m² ,7 bedrooms,No,Semi equipped,Good,62 m² ,No
Villa for sale,de Stalle 36,"€ 725,000",3 bedrooms | 154 m² ,3 bedrooms,No,USA hyper equipped,As new,281 m² ,No
House for sale,Rue Haynol 10,"€ 330,000",3 bedrooms,3 bedrooms,No,Installed,As new,200 m² ,Yes
Villa for sale,1495 — Villers-la-Ville,"€ 395,000",4 bedrooms | 130 m² ,4 bedrooms,No,Installed,As new,200 m² ,Yes
House for sale,1390 — Grez-Doiceau,"€ 450,000",5 bedrooms | 260 m² ,5 bedrooms,No,Semi equipped,To renovate,200 m² ,Yes
House for sale,Stationstraat 83,"€ 239,000",3 bedrooms | 170 m² ,3 bedrooms,No,Semi equipped,To renovate,200 m² ,Yes
Villa for sale,Allee Centrale 36,"€ 275,000",3 bedrooms | 187 m² ,3 bedrooms,No,Semi equipped,Good,1246 m² ,Yes
Apartment block for sale,Rue Célestin Hastir 1,"€ 385,000",3 bedrooms | 200 m² ,3 bedrooms,No,Installed,Good,1246 m² ,Yes
House for sale,"Botermelkstraat 2,A","€ 339,000",3 bedrooms | 170 m² ,3 bedrooms,No,Hyper equipped,As new,1246 m² ,Yes
House for sale,Hollebeekstraat 11,"€ 365,000",3 bedrooms | 380 m² ,3 bedrooms,No,Installed,Good,200 m² ,No
House for sale,Voetballersstraat 20,"€ 525,000",4 bedrooms | 210 m² ,4 bedrooms,No,Hyper equipped,As new,120 m² ,No
Villa for sale,1460 — Ittre,"€ 1,100",6 bedrooms | 770 m² ,6 bedrooms,No,USA hyper equipped,As new,120 m² ,No
Villa for sale,Lindenstraat 54,"€ 1,350",3 bedrooms | 300 m² ,3 bedrooms,No,Hyper equipped,As new,1100 m² ,No
House for sale,Jozef Degelaenstraat 6,"€ 255,000",2 bedrooms | 85 m² ,2 bedrooms,No,USA installed,Just renovated,1100 m² ,No
House for sale,rue de la bassee 42,"€ 295,000",4 bedrooms | 220 m² ,4 bedrooms,No,Installed,As new,1100 m² ,No
House for sale,Avenue des Ramiers 17,"€ 425,000",5 bedrooms | 150 m² ,5 bedrooms,No,Semi equipped,To be done up,1100 m² ,No
Exceptional property for sale,7063 — CHAUSSÉE-NOTRE-DAME-LOUVIGNIES,"€ 680,000",5 bedrooms | 380 m² ,5 bedrooms,No,Installed,Just renovated,1100 m² ,No
House for sale,Hasseltsestraat 23,"€ 239,000",3 bedrooms | 130 m² ,3 bedrooms,No,Installed,Good,1100 m² ,No
House for sale,du Presbytère 2,"€ 259,000",4 bedrooms,4 bedrooms,No,Installed,Good,1100 m² ,No
House for sale,Rodenbachlaan 59,"€ 259,000",3 bedrooms | 140 m² ,3 bedrooms,No,Hyper equipped,Good,1100 m² ,No
House for sale,Ieperleedstraat 38,"€ 385,000",3 bedrooms | 169 m² ,3 bedrooms,No,Hyper equipped,As new,1100 m² ,No
Town-house for sale,Nachtegaallaan 17/A,"€ 410,000",4 bedrooms | 162 m² ,4 bedrooms,No,Installed,As new,85 m² ,No
House for sale,Parkstraat 10,"€ 249,000",3 bedrooms | 182 m² ,3 bedrooms,No,Installed,Good,85 m² ,No
House for sale,Hasseltsestraat 68,"€ 275,000",4 bedrooms | 235 m² ,4 bedrooms,No,Installed,Good,85 m² ,No
House for sale,Papenboskant 3,"€ 449,000",4 bedrooms | 170 m² ,4 bedrooms,No,Semi equipped,As new,1825 m² ,No
Mixed-use building for sale,2610 — Wilrijk,"€ 695,000",7 bedrooms | 295 m² ,7 bedrooms,No,Semi equipped,As new,1825 m² ,No
CHAUMONT-GISTOUX,1325 — Chaumont-Gistoux,"€ 390,000",2 - 3 bedrooms | 95 - 305 m² ,2 - 3 bedrooms,No,Semi equipped,As new,1825 m² ,No
House for sale,rue de chaumont 31 Box A,"€ 295,000",1 bedroom | 80 m² ,1 bedroom,No,Installed,As new,1825 m² ,No
House for sale,Zonnestraat 508,"€ 75,000",1 bedroom | 75 m² ,1 bedroom,No,Not installed,To renovate,1825 m² ,No
Apartment for sale,Rempart de la Vierge 16 Box 2,"€ 175,000",1 bedroom | 54 m² ,1 bedroom,No,Installed,To be done up,1825 m² ,No
House for sale,Rue des Pinsons 7,"€ 375,000",3 bedrooms | 165 m² ,3 bedrooms,No,Semi equipped,To be done up,500 m² ,No
Apartment for sale,Zonnestraat 508/2,"€ 148,000",2 bedrooms | 153 m² ,2 bedrooms,No,Semi equipped,Good,500 m² ,No
House for sale,Kouterweg 34,"€ 275,000",1 bedroom | 90 m² ,1 bedroom,No,Semi equipped,Good,500 m² ,No
House for sale,Kouterweg 32,"€ 384,000",3 bedrooms | 164 m² ,3 bedrooms,No,Installed,Good,500 m² ,No
Exceptional property for sale,Voermanstraat 29,"€ 529,000",3 bedrooms | 201 m² ,3 bedrooms,No,Installed,Good,14 m² ,No
Villa for sale,Ouwegemstraat 102,"€ 644,500",3 bedrooms | 253 m² ,3 bedrooms,No,Installed,As new,14 m² ,No
Villa for sale,9470 — Denderleeuw,"€ 775,000",5 bedrooms | 298 m² ,5 bedrooms,No,Installed,Good,14 m² ,Yes
Villa for sale,Avenue H. De Keersmaeker 49,"€ 795,000",5 bedrooms | 330 m² ,5 bedrooms,No,Hyper equipped,Good,1000 m² ,Yes
House for sale,Guido Gezellelaan 15,"€ 475,000",4 bedrooms | 310 m² ,4 bedrooms,No,Installed,Good,1000 m² ,Yes
House for sale,Oudeheerweg-Ruiter 201,"€ 615,000",6 bedrooms,6 bedrooms,No,Installed,Good,1000 m² ,Yes
House for sale,Oudeheerweg-Ruiter 201,"€ 615,000",6 bedrooms,6 bedrooms,No,Installed,Good,1000 m² ,Yes
House for sale,Spillegem 10,"€ 275,000",3 bedrooms | 208 m² ,3 bedrooms,No,USA hyper equipped,Good,1000 m² ,Yes
House for sale,Venelle du Frene 8,"€ 325,000",4 bedrooms | 160 m² ,4 bedrooms,No,Hyper equipped,As new,1000 m² ,Yes
House for sale,Esdoornlaan 7,"€ 385,000",2 bedrooms | 180 m² ,2 bedrooms,No,Hyper equipped,Good,50 m² ,No
House for sale,Kerkveldstraat 123,"€ 448,000",4 bedrooms | 193 m² ,4 bedrooms,No,Installed,Good,80 m² ,No
House for sale,"Rue Principale, Sy 35","€ 450,000",6 bedrooms,6 bedrooms,No,Installed,Good,80 m² ,No
House for sale,Rue du Chêne 102,"€ 179,000",2 bedrooms | 111 m² ,2 bedrooms,No,Installed,As new,80 m² ,No
House for sale,Rosstraat 74,"€ 280,000",3 bedrooms | 155 m² ,3 bedrooms,No,Not installed,To renovate,577 m² ,No
House for sale,Major Charles Claserstraat 5,"€ 385,000",4 bedrooms | 210 m² ,4 bedrooms,No,Hyper equipped,As new,577 m² ,No
House for sale,Lindestraat 10,"€ 399,000",3 bedrooms | 170 m² ,3 bedrooms,No,Hyper equipped,As new,890 m² ,No
House for sale,Nieuwstraat 6,"€ 449,000",4 bedrooms | 174 m² ,4 bedrooms,No,Installed,As new,90 m² ,No
House for sale,Olfkenskouterlaan 15,"€ 498,000",6 bedrooms | 196 m² ,6 bedrooms,No,Hyper equipped,Good,90 m² ,No
House for sale,Chaussee de Haecht,"€ 550,000",6 bedrooms | 250 m² ,6 bedrooms,No,Installed,To be done up,60 m² ,No
House for sale,"Hille 18,","€ 118,000",2 bedrooms | 110 m² ,2 bedrooms,No,Installed,To renovate,500 m² ,No
House for sale,Rue du Monciat 24,"€ 135,000",4 bedrooms | 180 m² ,4 bedrooms,No,Not installed,To renovate,500 m² ,No
House for sale,Groene-Herderstraat 66,"€ 225,000",2 bedrooms | 135 m² ,2 bedrooms,No,Installed,Good,500 m² ,No
House for sale,Tervuursevest 198,"€ 260,000",3 bedrooms | 200 m² ,3 bedrooms,No,Installed,To renovate,500 m² ,No
House for sale,Gaversesteenweg 901,"€ 267,000",3 bedrooms | 155 m² ,3 bedrooms,No,Installed,To renovate,500 m² ,No
House for sale,"Schrieksesteenweg 77,","€ 279,000",3 bedrooms | 137 m² ,3 bedrooms,No,Installed,To be done up,280 m² ,No
House for sale,"Lijsterstraat 36,","€ 354,000",4 bedrooms | 159 m² ,4 bedrooms,No,Installed,As new,90 m² ,No
House for sale,Rue des Renards 5,"€ 359,000",4 bedrooms | 165 m² ,4 bedrooms,No,Installed,Good,90 m² ,No
House for sale,Ringlaan-Zuid 146,"€ 485,000",3 bedrooms | 210 m² ,3 bedrooms,No,Installed,Good,90 m² ,No
House for sale,Papenboskant 3,"€ 449,000",4 bedrooms | 170 m² ,4 bedrooms,No,Semi equipped,As new,1825 m² ,No
Mixed-use building for sale,2610 — Wilrijk,"€ 695,000",7 bedrooms | 295 m² ,7 bedrooms,No,Semi equipped,As new,1825 m² ,No
CHAUMONT-GISTOUX,1325 — Chaumont-Gistoux,"€ 390,000",2 - 3 bedrooms | 95 - 305 m² ,2 - 3 bedrooms,No,Semi equipped,As new,1825 m² ,No
House for sale,rue de chaumont 31 Box A,"€ 295,000",1 bedroom | 80 m² ,1 bedroom,No,Installed,As new,1825 m² ,No
House for sale,Zonnestraat 508,"€ 75,000",1 bedroom | 75 m² ,1 bedroom,No,Not installed,To renovate,1825 m² ,No
Apartment for sale,Rempart de la Vierge 16 Box 2,"€ 175,000",1 bedroom | 54 m² ,1 bedroom,No,Installed,To be done up,1825 m² ,No
House for sale,Rue des Pinsons 7,"€ 375,000",3 bedrooms | 165 m² ,3 bedrooms,No,Semi equipped,To be done up,500 m² ,No
Apartment for sale,Zonnestraat 508/2,"€ 148,000",2 bedrooms | 153 m² ,2 bedrooms,No,Semi equipped,Good,500 m² ,No
House for sale,Ringlaan-Zuid 146,"€ 485,000",3 bedrooms | 210 m² ,3 bedrooms,No,Semi equipped,Good,500 m² ,No
House for sale,Belfaststraat 16,"€ 289,500",2 bedrooms,2 bedrooms,No,Installed,Just renovated,38 m² ,No
House for sale,Stationlei 6,"€ 695,000",6 bedrooms | 305 m² ,6 bedrooms,No,Hyper equipped,As new,250 m² ,No
Bungalow for sale,Hongersveldstraat 15,"€ 799,000",5 bedrooms | 252 m² ,5 bedrooms,No,USA hyper equipped,Just renovated,3000 m² ,No
House for sale,Doornstraat 100,"€ 112,000",2 bedrooms | 111 m² ,2 bedrooms,No,Semi equipped,To be done up,3000 m² ,No
House for sale,Rue des Crépalles 7,"€ 129,000",2 bedrooms | 95 m² ,2 bedrooms,No,Semi equipped,Good,3000 m² ,No
House for sale,Brugsestraat 70,"€ 139,900",3 bedrooms | 225 m² ,3 bedrooms,No,Installed,To be done up,45 m² ,No
House for sale,Rue du Prince 41,"€ 149,000",7 bedrooms | 343 m² ,7 bedrooms,No,Installed,To renovate,45 m² ,No
House for sale,7712 — Herseaux,"€ 149,000",2 bedrooms | 95 m² ,2 bedrooms,No,Installed,Just renovated,133 m² ,No
House for sale,Casselstraat 156,"€ 149,000",2 bedrooms | 120 m² ,2 bedrooms,No,Semi equipped,To be done up,282 m² ,No
House for sale,Rue des Prés 36,"€ 149,900",3 bedrooms | 120 m² ,3 bedrooms,No,Semi equipped,To renovate,282 m² ,No
House for sale,Rumbeeksesteenweg 116,"€ 155,000",2 bedrooms | 115 m² ,2 bedrooms,No,Installed,Good,142 m² ,No
House for sale,Bourcy 192,"€ 165,000",2 bedrooms | 168 m² ,2 bedrooms,No,Installed,Good,142 m² ,No
House for sale,Stationsstraat 56,"€ 169,000",3 bedrooms | 133 m² ,3 bedrooms,No,Installed,Good,80 m² ,No
House for sale,David Teniersstraat 16,"€ 169,000",3 bedrooms | 139 m² ,3 bedrooms,No,Hyper equipped,Good,258 m² ,No
House for sale,Rue Saint-Pierre 7,"€ 175,000",3 bedrooms | 100 m² ,3 bedrooms,No,Not installed,To renovate,258 m² ,No
House for sale,Rue François Reconnu 49,"€ 175,000",4 bedrooms | 143 m² ,4 bedrooms,No,Semi equipped,To be done up,89 m² ,No
House for sale,Kasteelstraat 132,"€ 175,000",2 bedrooms | 94 m² ,2 bedrooms,No,Semi equipped,To be done up,89 m² ,No
House for sale,Kortrijksesteenweg 27,"€ 179,000",3 bedrooms | 120 m² ,3 bedrooms,No,Installed,Good,89 m² ,No
